boss_name,outcome,party_size,clear_time,wipe_count
The Seraphic Feedback,Wiped,11,190,4
"Mirash, Discord's Heart",Wiped,10,364,6
Forest's Entropy,Wiped,11,110,1
Whirlwind of Devoured Sounds,Wiped,11,362,9
"Xyraeth, Warden of the Broken Verse",Cleared,11,560,1
The Seraphic Feedback,Wiped,9,303,6
None Will Survive...,Cleared,9,600,1
Thyssara the Sky Cantor,Wiped,10,293,5
Forest's Entropy,Cleared,9,201,3
"Vasriel, Discord's Mind",Cleared,11,767,4
"Vasriel, Discord's Mind",Cleared,12,847,4
Dissonant Chorus,Cleared,8,741,1
The Seraphic Feedback,Wiped,8,308,5
The Forge of Stars,Cleared,9,339,0
The Seraphic Feedback,Cleared,8,445,1
The Forge of Stars,Cleared,10,291,1
The Coral Keeper,Cleared,8,257,0
None Will Survive...,Cleared,9,737,1
The Seraphic Feedback,Cleared,8,545,1
Dissonant Chorus,Cleared,10,641,5
The Seraphic Feedback,Wiped,10,209,3
"Xyraeth, Warden of the Broken Verse",Cleared,11,623,4
The Seraphic Feedback,Cleared,8,382,1
None Will Survive...,Wiped,12,227,8
None Will Survive...,Cleared,11,658,3
"Obrynth Unleashed, Dissonance Incarnate",Cleared,8,748,6
The Forge of Stars,Cleared,8,315,1
Eryth the Fractured Shoal,Cleared,11,505,2
"Obrynth Unleashed, Dissonance Incarnate",Wiped,12,365,7
Eryth the Fractured Shoal,Wiped,12,222,4
The Coral Keeper,Cleared,10,319,3
"Mirash, Discord's Heart",Wiped,11,132,5
Whirlwind of Devoured Sounds,Cleared,10,557,8
"Xyraeth, Warden of the Broken Verse",Wiped,12,309,5
The Coral Keeper,Cleared,10,327,0
Thyssara the Sky Cantor,Wiped,11,365,9
The Coral Keeper,Cleared,8,307,2
"Vasriel, Discord's Mind",Cleared,12,743,6
The Thunderhold Elites,Cleared,12,360,2
The Thunderhold Elites,Cleared,11,266,2
"Corvath, Discord's Voice",Cleared,12,714,3
The Thunderhold Elites,Cleared,11,339,3
"Vasriel, Discord's Mind",Wiped,10,373,5
None Will Survive...,Wiped,12,319,4
The Coral Keeper,Wiped,11,167,4
Whirlwind of Devoured Sounds,Wiped,9,190,7
"Onyx, Discord's Will",Cleared,9,693,5
None Will Survive...,Wiped,10,282,6
The Coral Keeper,Wiped,9,150,5
The Thunderhold Elites,Wiped,11,105,5
"Obrynth Unleashed, Dissonance Incarnate",Cleared,11,1053,4
Thyssara the Sky Cantor,Cleared,12,409,6
The Seraphic Feedback,Wiped,11,262,3
"Vasriel, Discord's Mind",Wiped,12,429,10
The Forge of Stars,Wiped,9,149,2
The Thunderhold Elites,Cleared,9,338,0
Thyssara the Sky Cantor,Cleared,12,751,3
"Xyraeth, Warden of the Broken Verse",Cleared,9,635,3
"Corvath, Discord's Voice",Cleared,11,704,1
"Vasriel, Discord's Mind",Wiped,12,430,8
Whirlwind of Devoured Sounds,Wiped,12,386,6
"Vasriel, Discord's Mind",Cleared,9,1013,4
"Xyraeth, Warden of the Broken Verse",Cleared,9,568,3
"Xyraeth, Warden of the Broken Verse",Wiped,10,295,4
Dissonant Chorus,Cleared,11,593,2
Whirlwind of Devoured Sounds,Cleared,9,773,2
The Seraphic Feedback,Wiped,11,163,5
Shockscale,Cleared,9,291,1
The Coral Keeper,Cleared,8,283,1
The Forge of Stars,Cleared,11,275,2
The Coral Keeper,Cleared,8,285,1
Dissonant Chorus,Cleared,10,952,1
None Will Survive...,Cleared,10,692,6
"Onyx, Discord's Will",Cleared,12,803,5
Shockscale,Wiped,12,139,5
"Mirash, Discord's Heart",Cleared,10,549,1
Whirlwind of Devoured Sounds,Wiped,9,440,5
The Forge of Stars,Cleared,12,309,5
"Vasriel, Discord's Mind",Cleared,12,811,6
The Seraphic Feedback,Cleared,10,464,2
The Coral Keeper,Cleared,12,269,0
None Will Survive...,Wiped,8,258,5
"Obrynth Unleashed, Dissonance Incarnate",Wiped,8,340,5
"Onyx, Discord's Will",Cleared,8,821,2
The Thunderhold Elites,Cleared,12,364,4
Whirlwind of Devoured Sounds,Cleared,11,671,3
Shockscale,Cleared,9,265,1
Shockscale,Cleared,10,260,1
The Thunderhold Elites,Wiped,12,172,6
The Forge of Stars,Cleared,8,322,3
Dissonant Chorus,Cleared,12,753,7
"Obrynth Unleashed, Dissonance Incarnate",Wiped,10,420,4
"Obrynth Unleashed, Dissonance Incarnate",Cleared,12,1051,6
The Coral Keeper,Cleared,12,386,2
Whirlwind of Devoured Sounds,Cleared,9,666,2
Dissonant Chorus,Cleared,12,577,5
Thyssara the Sky Cantor,Cleared,9,598,2
The Coral Keeper,Cleared,10,266,2
"Xyraeth, Warden of the Broken Verse",Cleared,12,584,3
"Onyx, Discord's Will",Wiped,12,572,9
